Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit
Lieutenant,James E. O'Connor,Gunfire,"Wednesday, January 28, 1970",1970,January,Wednesday,"Chicago Police Department, IL",Illinois,0
Chief of Police,Stanley Joseph Surpitski,Heart attack,"Friday, January 30, 1970",1970,January,Friday,"Ipswich Police Department, MA",Massachusetts,0
Police Officer,"Frederick J. Cione, Jr.",Gunfire,"Friday, January 30, 1970",1970,January,Friday,"Philadelphia Police Department, PA",Pennsylvania,0
Patrolman,Milligan Ray Burk,Gunfire,"Friday, January 30, 1970",1970,January,Friday,"McKinney Police Department, TX",Texas,0
Patrolman,Frank T. Hawley,Gunfire,"Saturday, January 31, 1970",1970,January,Saturday,"New Haven Police Department, CT",Connecticut,0
Police Officer,Leon Griggs,Gunfire,"Saturday, January 31, 1970",1970,January,Saturday,"Houston Police Department, TX",Texas,0
Patrolman,James E. Buckley,Struck by vehicle,"Monday, February 2, 1970",1970,February,Monday,"Chelsea Police Department, MA",Massachusetts,0
Revenue Agent,Carlton J. Peebles,Gunfire,"Friday, February 6, 1970",1970,February,Friday,"Georgia Department of Revenue - Alcohol and Tobacco Tax Unit, GA",Georgia,0
Sheriff,Clifton E. Palmer,Gunfire,"Friday, February 6, 1970",1970,February,Friday,"Person County Sheriff's Office, NC",North Carolina,0
Deputy,Frank E. Dombrowski,Automobile crash,"Friday, February 6, 1970",1970,February,Friday,"Monroe County Sheriff's Office, NY",New York,0
Special Deputy,Virgil Fred Wiatrek,Gunfire,"Saturday, February 7, 1970",1970,February,Saturday,"Karnes County Sheriff's Department, TX",Texas,0
Trooper,Richard T. Juna,Automobile crash,"Sunday, February 8, 1970",1970,February,Sunday,"New York State Police, NY",New York,0
Patrolman,David A. Cooper,Automobile crash,"Tuesday, February 10, 1970",1970,February,Tuesday,"Richmond Police Department, VA",Virginia,0
Officer,William Robert Court,Vehicle pursuit,"Friday, February 13, 1970",1970,February,Friday,"California Highway Patrol, CA",California,0
Officer,Raymond R. Carpenter,Gunfire,"Tuesday, February 17, 1970",1970,February,Tuesday,"California Highway Patrol, CA",California,0
Sergeant,Brian V. McDonnell,Bomb,"Wednesday, February 18, 1970",1970,February,Wednesday,"San Francisco Police Department, CA",California,0
Trooper,Gary Wayne Snodgrass,Automobile crash,"Saturday, February 21, 1970",1970,February,Saturday,"Missouri State Highway Patrol, MO",Missouri,0
Officer,David Henry Reese,Motorcycle crash,"Saturday, February 28, 1970",1970,February,Saturday,"Jacksonville Sheriff's Office, FL",Florida,0
Patrolman,Michael Melchiona,Gunfire,"Saturday, February 28, 1970",1970,February,Saturday,"New York City Transit Police Department, NY",New York,0
Patrolman,Joseph Mariconda,Aircraft accident,"Sunday, March 1, 1970",1970,March,Sunday,"New York City Police Department, NY",New York,0
Patrolman,Patrick Harrington,Aircraft accident,"Sunday, March 1, 1970",1970,March,Sunday,"New York City Police Department, NY",New York,0
Trooper,John G. George,Exposure to toxins,"Sunday, March 1, 1970",1970,March,Sunday,"New York State Police, NY",New York,0
Patrolman,Thomas J. Kelly,Gunfire,"Tuesday, March 3, 1970",1970,March,Tuesday,"Chicago Police Department, IL",Illinois,0
Sergeant,Walter W. Cox,Struck by train,"Friday, March 6, 1970",1970,March,Friday,"Idaho State Police, ID",Idaho,0
Police Officer,William Slappey,Gunfire,"Wednesday, March 11, 1970",1970,March,Wednesday,"Detroit Police Department, MI",Michigan,0
Youth Officer,Casey Joseph Tristano,Heart attack,"Friday, March 13, 1970",1970,March,Friday,"Chicago Police Department, IL",Illinois,0
Police Officer,"Leslie Haskins, Jr.",Gunfire,"Friday, March 13, 1970",1970,March,Friday,"Newark Police Department, NJ",New Jersey,0
Trooper,Richard L. Weltz,Automobile crash,"Tuesday, March 17, 1970",1970,March,Tuesday,"New York State Police, NY",New York,0
Trooper,John C. Hagerty,Aircraft accident,"Wednesday, March 18, 1970",1970,March,Wednesday,"Florida Highway Patrol, FL",Florida,0
Deputy City Marshal,Floyd M. Melder,Gunfire,"Friday, March 20, 1970",1970,March,Friday,"Glenmora Police Department, LA",Louisiana,0
Chief of Police,Robert Hamrick,Vehicle pursuit,"Friday, March 20, 1970",1970,March,Friday,"Rock Creek Police Department, OH",Ohio,0
Police Officer,Henry M. Mickey,Gunfire,"Tuesday, March 24, 1970",1970,March,Tuesday,"Baltimore City Police Department, MD",Maryland,0
Patrolman,Herbert Gale Poe,Motorcycle crash,"Wednesday, March 25, 1970",1970,March,Wednesday,"Ardmore Police Department, OK",Oklahoma,0
Captain,Charles R. Jones,Vehicular assault,"Friday, March 27, 1970",1970,March,Friday,"Connersville Police Department, IN",Indiana,0
Assistant Director,Donald Boyd Smith,Gunfire,"Sunday, March 29, 1970",1970,March,Sunday,"Georgia Department of Corrections, GA",Georgia,0
Correctional Officer,Richard H. Rogers,Gunfire,"Sunday, March 29, 1970",1970,March,Sunday,"Georgia Department of Corrections, GA",Georgia,0
Detective,William E. Loscheider,Gunfire (Inadvertent),"Thursday, April 2, 1970",1970,April,Thursday,"Joliet Police Department, IL",Illinois,0
Officer,"James E. Pence, Jr.",Gunfire,"Sunday, April 5, 1970",1970,April,Sunday,"California Highway Patrol, CA",California,0
Officer,Roger D. Gore,Gunfire,"Sunday, April 5, 1970",1970,April,Sunday,"California Highway Patrol, CA",California,0
Officer,Walter C. Frago,Gunfire,"Sunday, April 5, 1970",1970,April,Sunday,"California Highway Patrol, CA",California,0
Officer,George M. Alleyn,Gunfire,"Sunday, April 5, 1970",1970,April,Sunday,"California Highway Patrol, CA",California,0
Patrolman,William Howard Thompson,Gunfire,"Sunday, April 5, 1970",1970,April,Sunday,"Salem Police Department, VA",Virginia,0
Police Officer,Harry Lee Davis,Gunfire,"Monday, April 6, 1970",1970,April,Monday,"Philadelphia Police Department, PA",Pennsylvania,0
Trooper,Billy A. Tanner,Vehicle pursuit,"Saturday, April 11, 1970",1970,April,Saturday,"Georgia State Patrol, GA",Georgia,0
Patrolman,"Anthony Milazzo, Jr.",Vehicular assault,"Saturday, April 11, 1970",1970,April,Saturday,"Long Island State Parkway Police Department, NY",New York,0
Corrections Employee,Rufus C. Campbell,Assault,"Saturday, April 18, 1970",1970,April,Saturday,"Illinois Department of Corrections, IL",Illinois,0
Policeman,Earl Leonard Riddick,Gunfire,"Thursday, April 23, 1970",1970,April,Thursday,"Los Angeles Police Department, CA",California,0
Officer,Robert Devoid,Automobile crash,"Thursday, April 23, 1970",1970,April,Thursday,"Berlin Police Department, NH",New Hampshire,0
Officer,Dorman Wheelock,Automobile crash,"Thursday, April 23, 1970",1970,April,Thursday,"Berlin Police Department, NH",New Hampshire,0
Police Officer,Donald W. Sager,Gunfire,"Friday, April 24, 1970",1970,April,Friday,"Baltimore City Police Department, MD",Maryland,0
Police Officer,"John Charles Stratton, Jr.",Heart attack,"Saturday, April 25, 1970",1970,April,Saturday,"Philadelphia Police Department, PA",Pennsylvania,0
Chief of Police,William E. Lewis,Gunfire,"Wednesday, April 29, 1970",1970,April,Wednesday,"Capac Police Department, MI",Michigan,0
Sergeant,Robert L. Stevens,Gunfire,"Wednesday, April 29, 1970",1970,April,Wednesday,"Benton Township Police Department, MI",Michigan,0
Deputy Sheriff,Gordon D. Erickson,Fall,"Thursday, April 30, 1970",1970,April,Thursday,"Los Angeles County Sheriff's Department, CA",California,0
Captain,Samuel N. Rowe,Automobile crash,"Friday, May 1, 1970",1970,May,Friday,"New York State Police, NY",New York,0
Conservation Officer,Charles Gilbert Porter,Struck by train,"Saturday, May 2, 1970",1970,May,Saturday,"Utah Division of Wildlife Resources, UT",Utah,0
Sergeant,"Lewis Edward Robinson, Sr.",Gunfire,"Monday, May 4, 1970",1970,May,Monday,"Mecklenburg County Police Department, NC",North Carolina,0
Police Officer,Woodrow Wayne Scarbrough,Motorcycle crash,"Tuesday, May 5, 1970",1970,May,Tuesday,"Gulfport Police Department, MS",Mississippi,0
Trooper,Jackie Monroe Bussard,Automobile crash,"Tuesday, May 5, 1970",1970,May,Tuesday,"Virginia State Police, VA",Virginia,0
Deputy Sheriff,William C. Doster,Gunfire,"Saturday, May 9, 1970",1970,May,Saturday,"Chester County Sheriff's Department, SC",South Carolina,0
Lieutenant,James Brice Waters,Gunfire,"Saturday, May 9, 1970",1970,May,Saturday,"Chester County Sheriff's Department, SC",South Carolina,0
Investigator,John Albert Hanson,Fall,"Saturday, May 9, 1970",1970,May,Saturday,"United States Army Criminal Investigation Division, US",United States,0
Patrolman,"Milton J. LeBoeuf, Jr.",Vehicle pursuit,"Monday, May 11, 1970",1970,May,Monday,"Westwego Police Department, LA",Louisiana,0
Police Officer,Bernard M. Bennett,Gunfire,"Wednesday, May 13, 1970",1970,May,Wednesday,"Sacramento Police Department, CA",California,0
Officer,"Jack L. Pickering, Jr.",Exposure to toxins,"Tuesday, May 19, 1970",1970,May,Tuesday,"Beaumont Police Department, TX",Texas,0
Officer,Ronny Lee Garcia,Exposure to toxins,"Tuesday, May 19, 1970",1970,May,Tuesday,"Beaumont Police Department, TX",Texas,0
Deputy Sheriff,Ronald Edward Adair,Automobile crash,"Friday, May 22, 1970",1970,May,Friday,"Navajo County Sheriff's Office, AZ",Arizona,0
Police Officer,Frederick Henley Wilson,Assault,"Friday, May 22, 1970",1970,May,Friday,"El Cajon Police Department, CA",California,0
Patrolman,Robert Vincent Whisenand,Gunfire (Inadvertent),"Friday, May 22, 1970",1970,May,Friday,"Dixon Police Department, IL",Illinois,0
Police Officer,"James T. Sackett, Sr.",Gunfire,"Friday, May 22, 1970",1970,May,Friday,"St. Paul Police Department, MN",Minnesota,0
Police Officer,"Rolland Lane, II",Gunfire,"Saturday, May 23, 1970",1970,May,Saturday,"Miami Police Department, FL",Florida,0
Patrolman,"Thomas Hadley Tyson, Jr.",Automobile crash,"Sunday, May 24, 1970",1970,May,Sunday,"Thomasville Police Department, AL",Alabama,0
Sheriff,"Luther June Midkiff, Jr.",Automobile crash,"Sunday, May 24, 1970",1970,May,Sunday,"Lincoln County Sheriff's Office, WV",West Virginia,0
Patrolman,Miguel A. Sirvent,Gunfire,"Monday, May 25, 1970",1970,May,Monday,"New York City Police Department, NY",New York,0
Sergeant,Raymond Eugene Espinoza,Gunfire,"Tuesday, May 26, 1970",1970,May,Tuesday,"Peoria County Sheriff's Office, IL",Illinois,0
Police Officer,Jerome O. Piet,Heart attack,"Thursday, May 28, 1970",1970,May,Thursday,"Gorham Police Department, NH",New Hampshire,0
Sergeant,George C. Higgins,Heart attack,"Thursday, May 28, 1970",1970,May,Thursday,"Harrington Park Police Department, NJ",New Jersey,0
Patrolman,Lawrence Stefane,Stabbed,"Thursday, May 28, 1970",1970,May,Thursday,"New York City Police Department, NY",New York,0
Reserve Officer,Andrew R. Reese,Struck by vehicle,"Saturday, May 30, 1970",1970,May,Saturday,"Garden Grove Police Department, CA",California,0
Chief of Police,William Jack Fancil,Gunfire,"Monday, June 1, 1970",1970,June,Monday,"Oblong Police Department, IL",Illinois,0
Patrolman,Melvin E. Brown,Gunfire,"Tuesday, June 2, 1970",1970,June,Tuesday,"Chicago Police Department, IL",Illinois,0
Patrolman,"George W. Lowe, Sr.",Gunfire,"Tuesday, June 2, 1970",1970,June,Tuesday,"Gary Police Department, IN",Indiana,0
Officer,John Castleman Cassie Owings,Struck by vehicle,"Wednesday, June 3, 1970",1970,June,Wednesday,"Childersburg Police Department, AL",Alabama,0
Lieutenant,"Moitt Brenton Truitt, Jr.",Gunfire,"Wednesday, June 3, 1970",1970,June,Wednesday,"Opelika Police Department, AL",Alabama,0
Officer,Donald Douglas Baty,Gunfire,"Wednesday, June 3, 1970",1970,June,Wednesday,"Atlanta Police Department, GA",Georgia,0
Deputy Sheriff,Donald E. Haynie,Gunfire,"Friday, June 5, 1970",1970,June,Friday,"Ventura County Sheriff's Office, CA",California,0
Deputy Marshal,William P. Peters,Gunfire,"Sunday, June 7, 1970",1970,June,Sunday,"Fountain City Police Department, IN",Indiana,0
Town Marshal,Donald R. Goodwin,Gunfire,"Sunday, June 7, 1970",1970,June,Sunday,"Fountain City Police Department, IN",Indiana,0
Special Agent,Frank Clarence Schultz,Struck by train,"Wednesday, June 10, 1970",1970,June,Wednesday,"Burlington Northern Railroad Police Department, RR",United States,0
Trooper,William R. Brandt,Weather/Natural disaster,"Friday, June 12, 1970",1970,June,Friday,"Missouri State Highway Patrol, MO",Missouri,0
Reserve Lieutenant,Jimmie Van Wingate,Gunfire,"Sunday, June 14, 1970",1970,June,Sunday,"Marion County Sheriff's Office, IN",Indiana,0
Patrolman,Ralph T. Russell,Gunfire,"Monday, June 15, 1970",1970,June,Monday,"Lewiston Police Department, ID",Idaho,0
Police,Matron Phyllis M. Myers,Assault,"Monday, June 15, 1970",1970,June,Monday,"Niagara County Sheriff's Office, NY",New York,0
Officer,Richard Radetich,Gunfire,"Friday, June 19, 1970",1970,June,Friday,"San Francisco Police Department, CA",California,0
Patrolman,Kenneth G. Kaner,Gunfire,"Friday, June 19, 1970",1970,June,Friday,"Chicago Police Department, IL",Illinois,0
Patrolman,Milan Barber,Heart attack,"Friday, June 19, 1970",1970,June,Friday,"Minersville Borough Police Department, PA",Pennsylvania,0
Police Officer,Joseph Brameyer,Automobile crash,"Sunday, June 21, 1970",1970,June,Sunday,"Bayonne Police Department, NJ",New Jersey,0
Patrolman,Roger A. Hamilton,Vehicular assault,"Sunday, June 21, 1970",1970,June,Sunday,"El Paso Police Department, TX",Texas,0
Police Officer,John A. Schmidt,Heart attack,"Wednesday, June 24, 1970",1970,June,Wednesday,"Philadelphia Police Department, PA",Pennsylvania,0
Deputy Sheriff,Larry Cox,Gunfire,"Friday, June 26, 1970",1970,June,Friday,"DeSoto County Sheriff's Office, MS",Mississippi,0
Trooper,Howard M. Crumley,Gunfire,"Sunday, June 28, 1970",1970,June,Sunday,"Oklahoma Highway Patrol, OK",Oklahoma,0
Chief Deputy,Russell Minor Brown,Heart attack,"Sunday, June 28, 1970",1970,June,Sunday,"Wayne County Sheriff's Office, PA",Pennsylvania,0
Corporal,Thomas Odean Gillilan,Gunfire,"Wednesday, July 1, 1970",1970,July,Wednesday,"Alabama Department of Public Safety, AL",Alabama,0
Patrolman,Robert M. Perry,Gunfire,"Wednesday, July 1, 1970",1970,July,Wednesday,"Plainfield Police Division, NJ",New Jersey,0
Patrolman,Paul Donadio,Automobile crash,"Thursday, July 2, 1970",1970,July,Thursday,"New York City Police Department, NY",New York,0
Patrolman,"Elmer E. Miller, Jr.",Assault,"Thursday, July 9, 1970",1970,July,Thursday,"Luzerne Township Police Department, PA",Pennsylvania,0
Patrolman,James Henry Hill,Heart attack,"Friday, July 10, 1970",1970,July,Friday,"Seaford Police Department, DE",Delaware,0
Guard Officer I,"Henry E. Thierry, Sr.",Assault,"Friday, July 10, 1970",1970,July,Friday,"St. Louis County Department of Welfare, MO",Missouri,0
Police Officer,John Frederick Passer,Vehicle pursuit,"Sunday, July 12, 1970",1970,July,Sunday,"Clearwater Police Department, FL",Florida,0
Deputy Jailer,Glenn Moore,Gunfire,"Sunday, July 12, 1970",1970,July,Sunday,"Pike County Detention Center, KY",Kentucky,0
Patrol Officer,Kenneth F. Roy,Automobile crash,"Sunday, July 12, 1970",1970,July,Sunday,"Bossier City Police Department, LA",Louisiana,0
Inspector,Robert H. Elliott,Automobile crash,"Wednesday, July 15, 1970",1970,July,Wednesday,"Illinois Department of Conservation - Division of Law Enforcement, IL",Illinois,0
Sheriff,Raymond Barto,Automobile crash,"Thursday, July 16, 1970",1970,July,Thursday,"Bureau County Sheriff's Department, IL",Illinois,0
Patrolman,Anthony N. Rizzato,Gunfire,"Friday, July 17, 1970",1970,July,Friday,"Chicago Police Department, IL",Illinois,0
Sergeant,James L. Severin,Gunfire,"Friday, July 17, 1970",1970,July,Friday,"Chicago Police Department, IL",Illinois,0
Correctional Officer,William C. Shull,Stabbed,"Thursday, July 23, 1970",1970,July,Thursday,"California Department of Corrections and Rehabilitation, CA",California,0
Sergeant,Darrell Keith Lee,Assault,"Friday, July 24, 1970",1970,July,Friday,"Rialto Police Department, CA",California,0
Patrolman,"Guy Ray Myers, Jr.",Motorcycle crash,"Friday, July 24, 1970",1970,July,Friday,"El Paso Police Department, TX",Texas,0
Auxiliary Sergeant,Lee A. Hutchinson,Automobile crash,"Saturday, July 25, 1970",1970,July,Saturday,"Hillsborough County Sheriff's Office, FL",Florida,0
Reserve Officer,Billy Sutherlin,Gunfire,"Monday, July 27, 1970",1970,July,Monday,"Fairfield Police Department, IA",Iowa,0
Patrolman,Alfred A. Thomason,Automobile crash,"Monday, July 27, 1970",1970,July,Monday,"South Carolina Highway Patrol, SC",South Carolina,0
City Marshal,Robert James Jim Atteberry,Gunfire,"Tuesday, July 28, 1970",1970,July,Tuesday,"Kiowa County Sheriff's Office, OK",Oklahoma,0
Police Officer,"Ernest F. Brunette, Jr.",Heart attack,"Friday, July 31, 1970",1970,July,Friday,"Worcester Police Department, MA",Massachusetts,0
Sergeant,Paul E. Mortimer,Duty related illness,"Friday, July 31, 1970",1970,July,Friday,"Dayton Police Department, OH",Ohio,0
Jailer,James Perry Bagwell,Stabbed,"Monday, August 3, 1970",1970,August,Monday,"Greenville County Department of Public Safety - Detention Division, SC",South Carolina,0
Officer,Richard E. Huerta,Gunfire,"Thursday, August 6, 1970",1970,August,Thursday,"San Jose Police Department, CA",California,0
Sergeant,Harold K. Hanning,Aircraft accident,"Thursday, August 6, 1970",1970,August,Thursday,"Ohio State Highway Patrol, OH",Ohio,0
Patrolman,Carl W. Cox,Bicycle accident,"Saturday, August 8, 1970",1970,August,Saturday,"Bradenton Police Department, FL",Florida,0
Patrolman,Jan Mulder,Gunfire,"Tuesday, August 11, 1970",1970,August,Tuesday,"Piqua Police Department, OH",Ohio,0
Wildlife Officer,Leon Walker,Vehicle pursuit,"Thursday, August 13, 1970",1970,August,Thursday,"Florida Game and Fresh Water Fish Commission, FL",Florida,0
Patrolman,"James Alfano, Jr.",Gunfire,"Sunday, August 16, 1970",1970,August,Sunday,"Chicago Police Department, IL",Illinois,0
Deputy Marshal,Donald Orville McLaughlin,Automobile crash,"Sunday, August 16, 1970",1970,August,Sunday,"Beverly Police Department, OH",Ohio,0
Officer,"Larry D. Minard, Sr.",Bomb,"Monday, August 17, 1970",1970,August,Monday,"Omaha Police Department, NE",Nebraska,0
Policeman,Michael Wayne Parker,Vehicle pursuit,"Tuesday, August 18, 1970",1970,August,Tuesday,"Los Angeles Police Department, CA",California,0
Officer,Ronald Tsugio Tsukamoto,Gunfire,"Thursday, August 20, 1970",1970,August,Thursday,"Berkeley Police Department, CA",California,0
Sergeant,Waymond Halsey,Vehicle pursuit,"Friday, August 21, 1970",1970,August,Friday,"Roanoke Police Department, AL",Alabama,0
Deputy Sheriff,Tommy Fox,Gunfire,"Saturday, August 22, 1970",1970,August,Saturday,"Lexington County Sheriff's Department, SC",South Carolina,0
Officer,Joseph Gibbs Cooper,Vehicle pursuit,"Sunday, August 23, 1970",1970,August,Sunday,"Greensboro Police Department, NC",North Carolina,0
Patrolman,Victor Leo Bordeaux,Vehicular assault,"Wednesday, August 26, 1970",1970,August,Wednesday,"New Orleans Police Department, LA",Louisiana,0
Deputy Sheriff,Samuel Boyd Simpson,Gunfire,"Saturday, August 29, 1970",1970,August,Saturday,"Bartow County Sheriff's Office, GA",Georgia,0
Sergeant,Frank R. Von Colln,Gunfire,"Saturday, August 29, 1970",1970,August,Saturday,"Fairmount Park Police Department, PA",Pennsylvania,0
Sheriff,Harold A. Steele,Gunfire,"Sunday, August 30, 1970",1970,August,Sunday,"Vinton County Sheriff's Office, OH",Ohio,0
Deputy Sheriff,Jerry Giddian Davis,Gunfire,"Tuesday, September 1, 1970",1970,September,Tuesday,"Alamance County Sheriff's Office, NC",North Carolina,0
Patrolman,Richard Murray,Vehicular assault,"Friday, September 4, 1970",1970,September,Friday,"Irvington Police Department, NJ",New Jersey,0
Patrolman,Guadalupe J. Martinez,Gunfire,"Friday, September 4, 1970",1970,September,Friday,"San Antonio Police Department, TX",Texas,0
Officer,Gilbert A. Duthie,Drowned,"Saturday, September 5, 1970",1970,September,Saturday,"Arizona Department of Public Safety, AZ",Arizona,0
Patrolman,Glenn K. Stewart,Vehicle pursuit,"Saturday, September 5, 1970",1970,September,Saturday,"Akron Police Department, OH",Ohio,0
Probationary Patrolman,Patrick M. Canavan,Stabbed,"Monday, September 7, 1970",1970,September,Monday,"New York City Police Department, NY",New York,0
Deputy Sheriff,Michael J. Finerson,Gunfire,"Wednesday, September 9, 1970",1970,September,Wednesday,"Jefferson County Sheriff's Office, NY",New York,0
Sergeant,Victor M. Rodriguez-Ramirez,Gunfire,"Thursday, September 10, 1970",1970,September,Thursday,"Puerto Rico Police Department, PR",Puerto Rico,0
Deputy Sheriff,Robert Tilman Felix Thomason,Heart attack,"Thursday, September 10, 1970",1970,September,Thursday,"Washington County Sheriff's Office, TN",Tennessee,0
Special Agent,Raymond R. Round,Gunfire,"Saturday, September 12, 1970",1970,September,Saturday,"United States Air Force Office of Special Investigations, US",United States,0
Police Officer,George Mann,Vehicle pursuit,"Sunday, September 13, 1970",1970,September,Sunday,"University of South Florida Police Department, FL",Florida,0
Town Sergeant,John Thomas Young,Vehicular assault,"Monday, September 14, 1970",1970,September,Monday,"Parksley Police Department, VA",Virginia,0
Deputy Sheriff,Khomas Cellus Revels,Gunfire,"Friday, September 18, 1970",1970,September,Friday,"Leon County Sheriff's Office, FL",Florida,0
Patrolman,William A. Miscannon,Gunfire,"Friday, September 18, 1970",1970,September,Friday,"Toledo Police Department, OH",Ohio,0
Patrolman,Dennis J. Jobe,Motorcycle crash,"Tuesday, September 22, 1970",1970,September,Tuesday,"Memphis Police Department, TN",Tennessee,0
Police Officer,George Fish,Gunfire (Inadvertent),"Tuesday, September 22, 1970",1970,September,Tuesday,"Milwaukee Police Department, WI",Wisconsin,0
Patrolman,Michael W. Paolillo,Stabbed,"Wednesday, September 23, 1970",1970,September,Wednesday,"New York City Police Department, NY",New York,0
Patrolman,Walter A. Schroeder,Gunfire,"Thursday, September 24, 1970",1970,September,Thursday,"Boston Police Department, MA",Massachusetts,0
Trooper,Donald R. Blickensderfer,Automobile crash,"Saturday, September 26, 1970",1970,September,Saturday,"Illinois State Police, IL",Illinois,0
Deputy Sheriff,Alfred L. Perry,Vehicle pursuit,"Saturday, September 26, 1970",1970,September,Saturday,"Fairfield County Sheriff's Office, SC",South Carolina,0
Deputy Sheriff,"James Hubert Murphy, Sr.",Vehicle pursuit,"Saturday, September 26, 1970",1970,September,Saturday,"Fairfield County Sheriff's Office, SC",South Carolina,0
Policeman,Henry Travis,Automobile crash,"Saturday, September 26, 1970",1970,September,Saturday,"Tullahoma Police Department, TN",Tennessee,0
Police Officer,Alvin Joseph Free,Vehicular assault,"Sunday, September 27, 1970",1970,September,Sunday,"Little Rock Police Department, AR",Arkansas,0
Patrolman,"Joseph Phillip Tracz, Jr.",Gunfire,"Monday, September 28, 1970",1970,September,Monday,"Cleveland Division of Police, OH",Ohio,0
Patrolman,Peter John Sonny Burke,Gunfire,"Thursday, October 1, 1970",1970,October,Thursday,"Atlantic City Police Department, NJ",New Jersey,0
Sergeant,Gara Oliver Cooper,Struck by vehicle,"Friday, October 2, 1970",1970,October,Friday,"Texas Department of Public Safety - Texas Highway Patrol, TX",Texas,0
Patrolman,George Rennie,Motorcycle crash,"Monday, October 5, 1970",1970,October,Monday,"Secaucus Police Department, NJ",New Jersey,0
Trooper,Hugh Donald Swartz,Gunfire,"Monday, October 5, 1970",1970,October,Monday,"West Virginia State Police, WV",West Virginia,0
Patrolman,Joseph L. O'Neil,Gunfire,"Wednesday, October 7, 1970",1970,October,Wednesday,"Buffalo Police Department, NY",New York,0
Officer,William L. Martin,Gunfire,"Friday, October 9, 1970",1970,October,Friday,"Oakland Police Department, CA",California,0
Forest Ranger,Raymond L. Murray,Aircraft accident,"Friday, October 9, 1970",1970,October,Friday,"New York State Department of Environmental Conservation - Division of Lands and Forests, NY",New York,0
Corporal,Harlan B. Blake,Vehicle pursuit,"Saturday, October 10, 1970",1970,October,Saturday,"Alabama Department of Public Safety, AL",Alabama,0
Patrolman,Maurice Erben,Boating accident,"Tuesday, October 13, 1970",1970,October,Tuesday,"New York City Police Department, NY",New York,0
Supervisory Special Agent,Hector Jordan,Assault,"Wednesday, October 14, 1970",1970,October,Wednesday,"United States Department of Justice - Bureau of Narcotics and Dangerous Drugs, US",United States,0
Patrolman,John Leslie Scott,Gunfire,"Wednesday, October 14, 1970",1970,October,Wednesday,"Pittsburgh Bureau of Police, PA",Pennsylvania,0
Patrolman,John J. Matonich,Gunfire,"Friday, October 16, 1970",1970,October,Friday,"Chicago Police Department, IL",Illinois,0
Sergeant,Carl Hiram Watson,Gunfire,"Sunday, October 18, 1970",1970,October,Sunday,"Cordele Police Department, GA",Georgia,0
Officer,Ronnie E. McGraw,Gunfire,"Sunday, October 18, 1970",1970,October,Sunday,"Mecklenburg County Police Department, NC",North Carolina,0
Trooper,Donald Edward Lovelace,Struck by vehicle,"Sunday, October 18, 1970",1970,October,Sunday,"Virginia State Police, VA",Virginia,0
